Category	Ticker	Date	Open	Close	High	Low
Finance	MS	2023-03-20	84.599998	85.639999	86.309998	84.370003
Finance	MS	2023-03-21	88.230003	88.760002	89.18	88.0
Finance	MS	2023-03-22	88.75	87.550003	90.080002	87.459999
Finance	MS	2023-03-23	87.949997	85.839996	88.800003	85.239998
Finance	MS	2023-03-24	84.510002	83.949997	84.510002	81.720001
Finance	MS	2023-03-25	85.28	84.29	85.42	83.04
Finance	MS	2023-03-26	85.67	84.46	85.87	83.7
Finance	MS	2023-03-27	86.059998	84.639999	86.32	84.360001
Finance	MS	2023-03-28	84.559998	84.879997	85.169998	83.93
Finance	MS	2023-03-29	85.93	86.239998	86.349998	85.349998
Finance	MS	2023-03-30	87.260002	86.110001	87.610001	85.459999
Finance	MS	2023-03-31	86.800003	87.800003	87.870003	86.169998
EVs	TSLA	2021-03-31	215.539993	222.643326	224.0	213.703339
EVs	TSLA	2021-04-01	229.456665	220.583328	230.806671	219.806671
EVs	TSLA	2021-04-02	232.68	225.47	233.43	224.02
EVs	TSLA	2021-04-03	234.29	227.91	234.74	226.13
EVs	TSLA	2021-04-04	235.1	229.13	235.4	227.18
EVs	TSLA	2021-04-05	235.903336	230.350006	236.053329	228.233337
EVs	TSLA	2021-04-06	230.100006	230.539993	232.183334	227.123337
EVs	TSLA	2021-04-07	229.0	223.656662	230.460007	222.613327
EVs	TSLA	2021-04-08	225.793335	227.933334	229.850006	223.883331
EVs	TSLA	2021-04-09	225.92334	225.67334	226.990005	223.143326
EVs	TSLA	2021-04-10	227.25	229.83	230.96	225.25
EVs	TSLA	2021-04-11	227.91	231.91	232.95	226.31
EVs	TSLA	2021-04-12	228.566666	233.993332	234.933334	227.363327
EVs	TSLA	2021-04-13	237.566666	254.106674	254.333328	236.886673
EVs	TSLA	2021-04-14	256.899994	244.07666	260.263336	242.676666
EVs	TSLA	2021-04-15	247.699997	246.28334	247.896667	240.436661
EVs	TSLA	2021-04-16	242.883331	246.593338	249.803329	241.53334
EVs	TSLA	2021-04-17	241.38	242.4	245.8	236.07
EVs	TSLA	2021-04-18	240.62	240.31	243.8	233.34
EVs	TSLA	2021-04-19	239.866669	238.210007	241.800003	230.600006
EVs	TSLA	2021-04-20	239.139999	239.66333	245.75	236.896667
EVs	TSLA	2021-04-21	234.92334	248.039993	248.279999	232.666672
EVs	TSLA	2021-04-22	247.166672	239.896667	251.256668	239.346664
EVs	TSLA	2021-04-23	239.933334	243.133331	245.786667	238.486664
EVs	TSLA	2021-04-24	243.47	244.6	247.78	241.35
EVs	TSLA	2021-04-25	245.24	245.33	248.77	242.78
EVs	TSLA	2021-04-26	247.0	246.066666	249.766663	244.203339
EVs	TSLA	2021-04-27	239.320007	234.91333	241.333328	234.449997
EVs	TSLA	2021-04-28	232.136673	231.46666	236.166672	231.199997
EVs	TSLA	2021-04-29	233.169998	225.666672	234.083328	222.833328
EVs	TSLA	2021-04-30	222.529999	236.479996	238.490005	222.046661
EVs	TSLA	2021-05-01	228.57	232.39	236.91	224.44
EVs	TSLA	2021-05-02	231.59	230.35	236.12	225.64
EVs	TSLA	2021-05-03	234.600006	228.300003	235.333328	226.833328
EVs	TSLA	2021-05-04	226.313339	224.53334	227.816666	219.233337
EVs	TSLA	2021-05-05	227.020004	223.646667	228.433334	222.446671
EVs	TSLA	2021-05-06	226.919998	221.179993	227.006668	216.666672
EVs	TSLA	2021-05-07	221.933334	224.123337	230.0	220.073334
EVs	TSLA	2021-05-08	221.78	216.9	225.84	214.64
EVs	TSLA	2021-05-09	221.71	213.29	223.76	211.92
EVs	TSLA	2021-05-10	221.633331	209.679993	221.683334	209.203339
EVs	TSLA	2021-05-11	199.746674	205.733337	209.03334	198.53334
EVs	TSLA	2021-05-12	200.830002	196.630005	206.803329	195.589996
EVs	TSLA	2021-05-13	200.513336	190.563339	202.153336	186.550003
EVs	TSLA	2021-05-14	194.470001	196.580002	197.623337	190.153336
EVs	TSLA	2021-05-15	193.16	194.43	197.1	188.61
EVs	TSLA	2021-05-16	192.51	193.35	196.84	187.84
EVs	TSLA	2021-05-17	191.850006	192.276672	196.57666	187.066666
EVs	TSLA	2021-05-18	189.333328	192.623337	198.75	187.793335
EVs	TSLA	2021-05-19	184.183334	187.820007	188.736664	182.32666
EVs	TSLA	2021-05-20	191.666672	195.593338	196.28334	190.356674
