CATEGORY	TICKER	DATE	OPEN	CLOSE	PRE_MARKET	AFTER_HOURS	HIGH	LOW
Health	UNH	2023-01-27	493.37	486.05	492.58	485.7499	493.37	484.47
Finance	MS	2023-01-27	96.41	96.86	96.2	96.98	97.43	95.71
EVs	TSLA	2023-01-27	162.43	177.9	159.89	178.99	180.68	161.17
Telecom	AMT	2023-01-27	220.71	220.79	220.71	220.79	221.925	219.43
Tech	GOOGL	2023-01-27	97.31	99.37	97.26	99.35	100.32	97.31
Health	UNH	2023-01-30	487.81	485.79	485.74	481.99	495.25	484.8
Finance	MS	2023-01-30	95.03	95.96	95.5	96.1	96.61	94.92
EVs	TSLA	2023-01-30	178.05	166.66	178.5	165.77	179.77	166.5
Telecom	AMT	2023-01-30	219.99	218.06	219.05	218.06	222.58	217.85
Tech	GOOGL	2023-01-30	97.48	96.94	98.62	97.2	98.29	96.395
Health	UNH	2023-01-31	498	499.19	483.47	497.49	505.5	493.13
Finance	MS	2023-01-31	96.29	97.33	95.97	97.16	97.37	95.7644
EVs	TSLA	2023-01-31	164.57	173.22	165.89	171.8205	174.3	162.78
Telecom	AMT	2023-01-31	218.05	223.39	218.05	223.39	223.42	218.05
Tech	GOOGL	2023-01-31	96.87	98.84	97.1	98.05	98.88	96.82
