Category	Ticker	Date	Open	Close	High	Low	AggrPercent
Tech	GOOGL	2021-09-22	139.304001	140.283493	140.886993	138.551498	0.7031
Tech	GOOGL	2021-09-23	140.987503	141.216003	141.696503	140.401505	0.1621
Tech	GOOGL	2021-09-24	140.538498	142.214996	142.330505	140.240997	1.1929
Tech	GOOGL	2021-09-25	140.67	141.64	142.13	140.15	0.6896
Tech	GOOGL	2021-09-26	140.74	141.36	142.03	140.11	0.4405
Tech	GOOGL	2021-09-27	140.804504	141.072006	141.938507	140.067505	0.19
Tech	GOOGL	2021-09-28	138.654999	135.830002	139.096497	135.360001	-2.0374
Tech	GOOGL	2021-09-29	136.979996	134.3535	137.151001	133.865005	-1.9174
Tech	GOOGL	2021-09-30	134.261505	133.675995	135.542496	133.556	-0.4361
Tech	GOOGL	2021-10-01	134.447495	136.542999	136.910507	134.072998	1.5586
Tech	GOOGL	2021-10-02	135.2	135.1	136.44	132.56	-0.074
Tech	GOOGL	2021-10-03	135.58	134.38	136.2	131.81	-0.8851
Tech	GOOGL	2021-10-04	135.960495	133.6595	135.960495	131.050003	-1.6924
Tech	GOOGL	2021-10-05	134.041	136.022995	137.224503	134.041	1.4786
Tech	GOOGL	2021-10-06	134.75	137.565002	137.75	134.550003	2.0891
Tech	GOOGL	2021-10-07	138.891998	139.225006	140.042007	138.651001	0.2398
Tech	GOOGL	2021-10-08	139.576996	139.785507	140.330994	139.217499	0.1494
Tech	GOOGL	2021-10-09	139.43	139.35	140.52	139.04	-0.0574
Tech	GOOGL	2021-10-10	139.36	139.13	140.62	138.95	-0.165
Tech	GOOGL	2021-10-11	139.292007	138.914001	140.712006	138.858994	-0.2714
Tech	GOOGL	2021-10-12	139.479996	136.449005	139.507004	135.759995	-2.1731
Tech	GOOGL	2021-10-13	137.402496	137.582001	138.0	136.518997	0.1306
Tech	GOOGL	2021-10-14	139.473999	141.151001	141.337494	138.824997	1.2024
Tech	GOOGL	2021-10-15	141.614502	141.367996	141.718002	140.755005	-0.1741
Tech	GOOGL	2021-10-16	141.35	142.07	142.26	140.91	0.5094
Tech	GOOGL	2021-10-17	141.21	142.42	142.53	140.99	0.8569
Tech	GOOGL	2021-10-18	141.076508	142.778	142.796005	141.069504	1.2061
Tech	GOOGL	2021-10-19	143.387497	143.237	143.662506	142.600006	-0.105
Tech	GOOGL	2021-10-20	143.337997	141.768997	143.546005	141.376495	-1.0946
Tech	GOOGL	2021-10-21	141.768997	141.886002	142.156006	140.5	0.0825
Tech	GOOGL	2021-10-22	139.149994	137.566498	140.582993	136.056	-1.138
Tech	GOOGL	2021-10-23	138.35	137.51	139.29	135.74	-0.6072
Tech	GOOGL	2021-10-24	137.95	137.48	138.64	135.58	-0.3407
Tech	GOOGL	2021-10-25	137.550003	137.447006	138.0	135.423996	-0.0749
Tech	GOOGL	2021-10-26	139.263504	139.308502	140.082993	138.304504	0.0323
Tech	GOOGL	2021-10-27	139.404999	146.217499	148.649994	139.404999	4.8868
Tech	GOOGL	2021-10-28	147.134506	145.848999	147.158005	144.626999	-0.8737
Tech	GOOGL	2021-10-29	145.078003	148.046005	148.242004	144.649506	2.0458
Tech	GOOGL	2021-10-30	146.56	145.77	148.14	143.94	-0.539
Tech	GOOGL	2021-10-31	147.3	144.63	148.09	143.58	-1.8126
Tech	GOOGL	2021-11-01	148.046005	143.496994	148.046005	143.225494	-3.0727
